Train [1][0/1251]	Time 9.936 (9.936)	Data 0.000 (0.000)	Loss 6.9365 (6.9365)	Top-1 acc 0.098 (0.098)	Top-5 acc 0.684 (0.684)	lr 0.00000
Train [1][100/1251]	Time 0.318 (0.448)	Data 0.001 (0.002)	Loss 6.9122 (6.9279)	Top-1 acc 0.098 (0.132)	Top-5 acc 0.488 (0.567)	lr 0.00639
Train [1][200/1251]	Time 0.349 (0.396)	Data 0.002 (0.002)	Loss 6.8712 (6.9101)	Top-1 acc 0.195 (0.151)	Top-5 acc 0.488 (0.673)	lr 0.01278
Train [1][300/1251]	Time 0.324 (0.378)	Data 0.002 (0.002)	Loss 6.8337 (6.8918)	Top-1 acc 0.488 (0.209)	Top-5 acc 1.758 (0.876)	lr 0.01917
Train [1][400/1251]	Time 0.311 (0.369)	Data 0.001 (0.002)	Loss 6.7264 (6.8668)	Top-1 acc 0.781 (0.314)	Top-5 acc 2.637 (1.211)	lr 0.02556
Train [1][500/1251]	Time 0.326 (0.363)	Data 0.001 (0.002)	Loss 6.5382 (6.8232)	Top-1 acc 1.660 (0.447)	Top-5 acc 4.395 (1.689)	lr 0.03195
Train [1][600/1251]	Time 0.319 (0.359)	Data 0.001 (0.002)	Loss 6.3490 (6.7623)	Top-1 acc 1.367 (0.612)	Top-5 acc 5.957 (2.275)	lr 0.03834
Train [1][700/1251]	Time 0.328 (0.356)	Data 0.002 (0.002)	Loss 6.1875 (6.6927)	Top-1 acc 3.027 (0.826)	Top-5 acc 9.180 (3.006)	lr 0.04473
Train [1][800/1251]	Time 0.310 (0.354)	Data 0.002 (0.002)	Loss 6.0300 (6.6199)	Top-1 acc 3.223 (1.089)	Top-5 acc 10.547 (3.832)	lr 0.05112
Train [1][900/1251]	Time 0.316 (0.352)	Data 0.001 (0.002)	Loss 5.9168 (6.5466)	Top-1 acc 4.102 (1.400)	Top-5 acc 12.012 (4.754)	lr 0.05751
Train [1][1000/1251]	Time 0.315 (0.351)	Data 0.001 (0.002)	Loss 5.7368 (6.4740)	Top-1 acc 5.469 (1.737)	Top-5 acc 16.699 (5.720)	lr 0.06390
Train [1][1100/1251]	Time 0.343 (0.350)	Data 0.002 (0.002)	Loss 5.6572 (6.4031)	Top-1 acc 6.738 (2.121)	Top-5 acc 18.945 (6.752)	lr 0.07029
Train [1][1200/1251]	Time 0.335 (0.349)	Data 0.001 (0.002)	Loss 5.4863 (6.3328)	Top-1 acc 8.496 (2.552)	Top-5 acc 20.410 (7.834)	lr 0.07668
Train [1][1251/1251]	Time 0.352 (0.349)	Data 0.001 (0.002)	Loss 5.5120 (6.2975)	Top-1 acc 7.129 (2.784)	Top-5 acc 21.484 (8.401)	lr 0.07994
==========Valid [1/120]	loss 5.133	top-1 acc 7.608 (7.608)	top-5 acc 20.998	Train top-1 2.784	top-5 8.401
Train [2][0/1251]	Time 0.782 (0.782)	Data 0.001 (0.001)	Loss 5.4248 (5.4248)	Top-1 acc 7.617 (7.617)	Top-5 acc 22.461 (22.461)	lr 0.08000
Train [2][100/1251]	Time 0.414 (0.342)	Data 0.001 (0.001)	Loss 5.3145 (5.3791)	Top-1 acc 9.570 (8.989)	Top-5 acc 24.121 (23.551)	lr 0.08639
Train [2][200/1251]	Time 0.347 (0.340)	Data 0.002 (0.002)	Loss 5.1229 (5.3172)	Top-1 acc 13.672 (9.818)	Top-5 acc 29.395 (25.048)	lr 0.09278
Train [2][300/1251]	Time 0.317 (0.340)	Data 0.003 (0.002)	Loss 5.1047 (5.2594)	Top-1 acc 13.965 (10.525)	Top-5 acc 30.176 (26.343)	lr 0.09917
