Train [1][0/1251]	Time 7.785 (7.785)	Data 0.000 (0.000)	Loss 6.9429 (6.9429)	Top-1 acc 0.195 (0.195)	Top-5 acc 0.488 (0.488)	lr 0.00000
Train [1][100/1251]	Time 0.387 (0.456)	Data 0.001 (0.001)	Loss 6.9116 (6.9248)	Top-1 acc 0.195 (0.109)	Top-5 acc 0.391 (0.532)	lr 0.00639
Train [1][200/1251]	Time 0.366 (0.417)	Data 0.001 (0.001)	Loss 6.8631 (6.9078)	Top-1 acc 0.098 (0.148)	Top-5 acc 1.074 (0.662)	lr 0.01278
Train [1][300/1251]	Time 0.382 (0.404)	Data 0.001 (0.001)	Loss 6.7471 (6.8773)	Top-1 acc 0.488 (0.214)	Top-5 acc 2.051 (0.977)	lr 0.01917
Train [1][400/1251]	Time 0.367 (0.396)	Data 0.003 (0.001)	Loss 6.5149 (6.8168)	Top-1 acc 0.781 (0.347)	Top-5 acc 3.516 (1.498)	lr 0.02556
Train [1][500/1251]	Time 0.394 (0.392)	Data 0.001 (0.001)	Loss 6.2720 (6.7340)	Top-1 acc 2.246 (0.550)	Top-5 acc 7.324 (2.242)	lr 0.03195
Train [1][600/1251]	Time 0.377 (0.390)	Data 0.001 (0.001)	Loss 6.0701 (6.6445)	Top-1 acc 4.004 (0.835)	Top-5 acc 9.082 (3.191)	lr 0.03834
Train [1][700/1251]	Time 0.379 (0.388)	Data 0.001 (0.001)	Loss 5.9417 (6.5555)	Top-1 acc 4.492 (1.173)	Top-5 acc 13.770 (4.265)	lr 0.04473
Train [1][800/1251]	Time 0.372 (0.386)	Data 0.001 (0.001)	Loss 5.7739 (6.4679)	Top-1 acc 5.566 (1.584)	Top-5 acc 15.527 (5.440)	lr 0.05112
Train [1][900/1251]	Time 0.371 (0.385)	Data 0.002 (0.001)	Loss 5.6443 (6.3825)	Top-1 acc 5.078 (2.029)	Top-5 acc 17.676 (6.667)	lr 0.05751
Train [1][1000/1251]	Time 0.369 (0.384)	Data 0.001 (0.001)	Loss 5.4808 (6.2996)	Top-1 acc 7.617 (2.518)	Top-5 acc 20.117 (7.947)	lr 0.06390
Train [1][1100/1251]	Time 0.373 (0.384)	Data 0.001 (0.001)	Loss 5.4010 (6.2199)	Top-1 acc 9.570 (3.057)	Top-5 acc 23.438 (9.255)	lr 0.07029
Train [1][1200/1251]	Time 0.383 (0.383)	Data 0.001 (0.001)	Loss 5.2460 (6.1425)	Top-1 acc 10.352 (3.633)	Top-5 acc 26.074 (10.586)	lr 0.07668
Train [1][1251/1251]	Time 0.377 (0.383)	Data 0.001 (0.001)	Loss 5.2358 (6.1039)	Top-1 acc 10.645 (3.934)	Top-5 acc 25.977 (11.267)	lr 0.07994
==========Valid [1/120]	loss 4.735	top-1 acc 11.012 (11.012)	top-5 acc 28.056	Train top-1 3.934	top-5 11.267
