Train [1][0/2502]	Time 5.368 (5.368)	Data 0.000 (0.000)	Loss 7.0902 (7.0902)	Top-1 acc 0.195 (0.195)	Top-5 acc 0.391 (0.391)	lr 0.00000
Train [1][100/2502]	Time 0.379 (0.428)	Data 0.001 (0.001)	Loss 6.9169 (6.9943)	Top-1 acc 0.000 (0.135)	Top-5 acc 0.391 (0.570)	lr 0.00160
Train [1][200/2502]	Time 0.379 (0.401)	Data 0.001 (0.001)	Loss 6.9063 (6.9514)	Top-1 acc 0.195 (0.133)	Top-5 acc 0.977 (0.606)	lr 0.00320
Train [1][300/2502]	Time 0.376 (0.393)	Data 0.001 (0.001)	Loss 6.9038 (6.9335)	Top-1 acc 0.195 (0.149)	Top-5 acc 0.195 (0.693)	lr 0.00479
Train [1][400/2502]	Time 0.373 (0.388)	Data 0.001 (0.001)	Loss 6.8674 (6.9207)	Top-1 acc 0.000 (0.162)	Top-5 acc 0.781 (0.769)	lr 0.00639
Train [1][500/2502]	Time 0.373 (0.385)	Data 0.001 (0.001)	Loss 6.8049 (6.9060)	Top-1 acc 0.586 (0.204)	Top-5 acc 1.758 (0.929)	lr 0.00799
Train [1][600/2502]	Time 0.381 (0.383)	Data 0.001 (0.001)	Loss 6.7854 (6.8845)	Top-1 acc 0.977 (0.255)	Top-5 acc 3.516 (1.126)	lr 0.00959
Train [1][700/2502]	Time 0.373 (0.382)	Data 0.001 (0.001)	Loss 6.6151 (6.8566)	Top-1 acc 1.562 (0.325)	Top-5 acc 3.711 (1.387)	lr 0.01119
Train [1][800/2502]	Time 0.371 (0.381)	Data 0.001 (0.001)	Loss 6.5390 (6.8242)	Top-1 acc 1.562 (0.425)	Top-5 acc 4.297 (1.694)	lr 0.01278
Train [1][900/2502]	Time 0.370 (0.380)	Data 0.001 (0.001)	Loss 6.4121 (6.7858)	Top-1 acc 1.953 (0.522)	Top-5 acc 5.859 (2.059)	lr 0.01438
Train [1][1000/2502]	Time 0.369 (0.379)	Data 0.001 (0.001)	Loss 6.2622 (6.7440)	Top-1 acc 3.125 (0.662)	Top-5 acc 8.789 (2.495)	lr 0.01598
Train [1][1100/2502]	Time 0.369 (0.379)	Data 0.001 (0.001)	Loss 6.2367 (6.6996)	Top-1 acc 2.930 (0.821)	Top-5 acc 8.789 (2.993)	lr 0.01758
Train [1][1200/2502]	Time 0.379 (0.378)	Data 0.001 (0.001)	Loss 6.1074 (6.6550)	Top-1 acc 3.125 (0.981)	Top-5 acc 8.594 (3.504)	lr 0.01918
Train [1][1300/2502]	Time 0.384 (0.378)	Data 0.001 (0.001)	Loss 6.0608 (6.6113)	Top-1 acc 3.906 (1.155)	Top-5 acc 9.766 (4.027)	lr 0.02078
Train [1][1400/2502]	Time 0.371 (0.377)	Data 0.001 (0.001)	Loss 5.9520 (6.5674)	Top-1 acc 6.445 (1.353)	Top-5 acc 14.258 (4.590)	lr 0.02237
Train [1][1500/2502]	Time 0.370 (0.377)	Data 0.001 (0.001)	Loss 5.9307 (6.5237)	Top-1 acc 3.906 (1.554)	Top-5 acc 12.109 (5.169)	lr 0.02397
Train [1][1600/2502]	Time 0.369 (0.377)	Data 0.001 (0.001)	Loss 5.7696 (6.4805)	Top-1 acc 5.859 (1.772)	Top-5 acc 14.844 (5.773)	lr 0.02557
Train [1][1700/2502]	Time 0.370 (0.377)	Data 0.001 (0.001)	Loss 5.5931 (6.4380)	Top-1 acc 6.055 (1.991)	Top-5 acc 17.578 (6.392)	lr 0.02717
Train [1][1800/2502]	Time 0.369 (0.377)	Data 0.001 (0.001)	Loss 5.5847 (6.3964)	Top-1 acc 4.883 (2.222)	Top-5 acc 17.578 (7.007)	lr 0.02877
Train [1][1900/2502]	Time 0.376 (0.376)	Data 0.001 (0.001)	Loss 5.7152 (6.3555)	Top-1 acc 5.078 (2.464)	Top-5 acc 14.844 (7.633)	lr 0.03036
Train [1][2000/2502]	Time 0.370 (0.376)	Data 0.001 (0.001)	Loss 5.5427 (6.3162)	Top-1 acc 7.422 (2.705)	Top-5 acc 20.312 (8.246)	lr 0.03196
Train [1][2100/2502]	Time 0.374 (0.376)	Data 0.001 (0.001)	Loss 5.4208 (6.2774)	Top-1 acc 7.031 (2.968)	Top-5 acc 22.266 (8.881)	lr 0.03356
Train [1][2200/2502]	Time 0.371 (0.376)	Data 0.001 (0.001)	Loss 5.3629 (6.2401)	Top-1 acc 10.742 (3.221)	Top-5 acc 24.023 (9.487)	lr 0.03516
Train [1][2300/2502]	Time 0.374 (0.376)	Data 0.001 (0.001)	Loss 5.3584 (6.2034)	Top-1 acc 9.180 (3.480)	Top-5 acc 24.609 (10.104)	lr 0.03676
Train [1][2400/2502]	Time 0.372 (0.376)	Data 0.001 (0.001)	Loss 5.3964 (6.1674)	Top-1 acc 8.203 (3.744)	Top-5 acc 21.875 (10.720)	lr 0.03835
Train [1][2500/2502]	Time 0.370 (0.376)	Data 0.001 (0.001)	Loss 5.2901 (6.1322)	Top-1 acc 10.156 (4.017)	Top-5 acc 25.781 (11.330)	lr 0.03995
Train [1][2502/2502]	Time 0.377 (0.376)	Data 0.001 (0.001)	Loss 5.3334 (6.1315)	Top-1 acc 8.789 (4.022)	Top-5 acc 24.023 (11.341)	lr 0.03998
==========Valid [1/120]	loss 4.797	top-1 acc 11.304 (11.304)	top-5 acc 28.200	Train top-1 4.022	top-5 11.341
Train [2][0/2502]	Time 0.435 (0.435)	Data 0.001 (0.001)	Loss 5.2970 (5.2970)	Top-1 acc 11.133 (11.133)	Top-5 acc 25.977 (25.977)	lr 0.04000
Train [2][100/2502]	Time 0.372 (0.373)	Data 0.001 (0.001)	Loss 5.2178 (5.2142)	Top-1 acc 11.523 (11.278)	Top-5 acc 28.906 (27.413)	lr 0.04160
Train [2][200/2502]	Time 0.372 (0.373)	Data 0.001 (0.001)	Loss 5.0043 (5.1944)	Top-1 acc 12.305 (11.521)	Top-5 acc 29.883 (27.920)	lr 0.04320
Train [2][300/2502]	Time 0.379 (0.373)	Data 0.001 (0.001)	Loss 5.0324 (5.1681)	Top-1 acc 13.867 (11.934)	Top-5 acc 33.008 (28.457)	lr 0.04479
Train [2][400/2502]	Time 0.371 (0.373)	Data 0.001 (0.001)	Loss 4.9206 (5.1415)	Top-1 acc 16.797 (12.305)	Top-5 acc 33.398 (29.086)	lr 0.04639
Train [2][500/2502]	Time 0.376 (0.373)	Data 0.001 (0.001)	Loss 4.9207 (5.1143)	Top-1 acc 16.016 (12.626)	Top-5 acc 36.523 (29.776)	lr 0.04799
Train [2][600/2502]	Time 0.371 (0.373)	Data 0.001 (0.001)	Loss 4.9283 (5.0879)	Top-1 acc 14.648 (12.996)	Top-5 acc 33.398 (30.384)	lr 0.04959
Train [2][700/2502]	Time 0.382 (0.373)	Data 0.001 (0.001)	Loss 4.9726 (5.0626)	Top-1 acc 15.820 (13.358)	Top-5 acc 35.156 (30.964)	lr 0.05119
Train [2][800/2502]	Time 0.375 (0.373)	Data 0.001 (0.001)	Loss 4.8259 (5.0390)	Top-1 acc 16.797 (13.680)	Top-5 acc 36.133 (31.499)	lr 0.05278
Train [2][900/2502]	Time 0.369 (0.373)	Data 0.001 (0.001)	Loss 4.7495 (5.0149)	Top-1 acc 18.359 (14.005)	Top-5 acc 37.305 (32.077)	lr 0.05438
Train [2][1000/2502]	Time 0.376 (0.373)	Data 0.001 (0.001)	Loss 4.6981 (4.9924)	Top-1 acc 18.750 (14.309)	Top-5 acc 40.625 (32.603)	lr 0.05598
Train [2][1100/2502]	Time 0.373 (0.373)	Data 0.001 (0.001)	Loss 4.6469 (4.9702)	Top-1 acc 21.875 (14.616)	Top-5 acc 39.453 (33.120)	lr 0.05758
Train [2][1200/2502]	Time 0.377 (0.373)	Data 0.001 (0.001)	Loss 4.7600 (4.9476)	Top-1 acc 17.578 (14.932)	Top-5 acc 37.891 (33.637)	lr 0.05918
Train [2][1300/2502]	Time 0.375 (0.373)	Data 0.001 (0.001)	Loss 4.6004 (4.9252)	Top-1 acc 22.266 (15.263)	Top-5 acc 40.625 (34.168)	lr 0.06078
Train [2][1400/2502]	Time 0.373 (0.373)	Data 0.001 (0.001)	Loss 4.4767 (4.9050)	Top-1 acc 24.609 (15.550)	Top-5 acc 42.578 (34.639)	lr 0.06237
