Train [1][0/2502]	Time 5.686 (5.686)	Data 0.000 (0.000)	Loss 6.9223 (6.9223)	Top-1 acc 0.391 (0.391)	Top-5 acc 0.781 (0.781)	lr 0.00000
Train [1][100/2502]	Time 0.398 (0.539)	Data 0.280 (0.352)	Loss 6.9100 (6.9156)	Top-1 acc 0.000 (0.108)	Top-5 acc 1.562 (0.516)	lr 0.00799
Train [1][200/2502]	Time 0.768 (0.565)	Data 0.626 (0.407)	Loss 6.9054 (6.9113)	Top-1 acc 0.391 (0.107)	Top-5 acc 0.391 (0.510)	lr 0.01598
Train [1][300/2502]	Time 0.295 (0.511)	Data 0.001 (0.354)	Loss 6.8992 (6.9085)	Top-1 acc 0.000 (0.118)	Top-5 acc 0.586 (0.539)	lr 0.02397
Train [1][400/2502]	Time 0.903 (0.507)	Data 0.001 (0.290)	Loss 6.8568 (6.9007)	Top-1 acc 0.195 (0.132)	Top-5 acc 0.586 (0.610)	lr 0.03196
Train [1][500/2502]	Time 0.524 (0.513)	Data 0.148 (0.314)	Loss 6.8027 (6.8888)	Top-1 acc 0.000 (0.145)	Top-5 acc 1.172 (0.670)	lr 0.03995
Train [1][600/2502]	Time 0.227 (0.508)	Data 0.001 (0.273)	Loss 6.7622 (6.8739)	Top-1 acc 0.586 (0.168)	Top-5 acc 2.734 (0.795)	lr 0.04794
Train [1][700/2502]	Time 0.279 (0.506)	Data 0.001 (0.269)	Loss 6.7086 (6.8558)	Top-1 acc 0.391 (0.199)	Top-5 acc 2.734 (0.946)	lr 0.05593
Train [1][800/2502]	Time 0.381 (0.512)	Data 0.263 (0.269)	Loss 6.6379 (6.8353)	Top-1 acc 0.195 (0.253)	Top-5 acc 2.344 (1.143)	lr 0.06392
Train [1][900/2502]	Time 0.276 (0.511)	Data 0.001 (0.267)	Loss 6.5357 (6.8106)	Top-1 acc 1.758 (0.313)	Top-5 acc 4.102 (1.365)	lr 0.07191
Train [1][1000/2502]	Time 0.401 (0.513)	Data 0.043 (0.261)	Loss 6.4185 (6.7787)	Top-1 acc 0.977 (0.395)	Top-5 acc 5.078 (1.680)	lr 0.07990
Train [1][1100/2502]	Time 0.330 (0.514)	Data 0.001 (0.254)	Loss 6.3388 (6.7377)	Top-1 acc 1.758 (0.499)	Top-5 acc 5.078 (2.053)	lr 0.08789
Train [1][1200/2502]	Time 0.266 (0.514)	Data 0.057 (0.246)	Loss 6.1084 (6.6929)	Top-1 acc 1.172 (0.644)	Top-5 acc 6.641 (2.541)	lr 0.09588
Train [1][1300/2502]	Time 0.368 (0.514)	Data 0.240 (0.248)	Loss 6.0033 (6.6453)	Top-1 acc 3.320 (0.812)	Top-5 acc 9.961 (3.090)	lr 0.10388
Train [1][1400/2502]	Time 1.055 (0.514)	Data 0.943 (0.253)	Loss 5.8457 (6.5949)	Top-1 acc 3.516 (1.005)	Top-5 acc 13.281 (3.706)	lr 0.11187
Train [1][1500/2502]	Time 0.517 (0.514)	Data 0.052 (0.255)	Loss 5.7581 (6.5426)	Top-1 acc 4.883 (1.244)	Top-5 acc 16.211 (4.404)	lr 0.11986
Train [1][1600/2502]	Time 0.343 (0.517)	Data 0.231 (0.254)	Loss 5.5975 (6.4907)	Top-1 acc 5.078 (1.500)	Top-5 acc 18.555 (5.139)	lr 0.12785
Train [1][1700/2502]	Time 0.296 (0.516)	Data 0.181 (0.257)	Loss 5.6154 (6.4398)	Top-1 acc 7.617 (1.773)	Top-5 acc 18.359 (5.884)	lr 0.13584
Train [1][1800/2502]	Time 0.335 (0.515)	Data 0.223 (0.253)	Loss 5.5350 (6.3889)	Top-1 acc 8.203 (2.074)	Top-5 acc 21.094 (6.673)	lr 0.14383
Train [1][1900/2502]	Time 0.312 (0.516)	Data 0.196 (0.256)	Loss 5.4604 (6.3400)	Top-1 acc 8.008 (2.380)	Top-5 acc 23.047 (7.459)	lr 0.15182
Train [1][2000/2502]	Time 0.634 (0.515)	Data 0.001 (0.256)	Loss 5.3914 (6.2923)	Top-1 acc 8.594 (2.698)	Top-5 acc 22.266 (8.241)	lr 0.15981
Train [1][2100/2502]	Time 0.909 (0.517)	Data 0.319 (0.256)	Loss 5.3269 (6.2458)	Top-1 acc 9.766 (3.030)	Top-5 acc 25.195 (9.034)	lr 0.16780
Train [1][2200/2502]	Time 0.354 (0.518)	Data 0.238 (0.261)	Loss 5.2989 (6.2003)	Top-1 acc 10.156 (3.371)	Top-5 acc 28.125 (9.832)	lr 0.17579
Train [1][2300/2502]	Time 0.408 (0.518)	Data 0.001 (0.263)	Loss 5.2207 (6.1563)	Top-1 acc 12.109 (3.723)	Top-5 acc 28.516 (10.622)	lr 0.18378
Train [1][2400/2502]	Time 0.354 (0.518)	Data 0.215 (0.268)	Loss 5.1226 (6.1139)	Top-1 acc 11.523 (4.067)	Top-5 acc 30.078 (11.401)	lr 0.19177
Train [1][2500/2502]	Time 0.229 (0.518)	Data 0.116 (0.271)	Loss 5.0944 (6.0724)	Top-1 acc 13.086 (4.424)	Top-5 acc 31.445 (12.180)	lr 0.19976
