Train [1][0/1251]	Time 7.616 (7.616)	Data 0.000 (0.000)	Loss 6.9464 (6.9464)	Top-1 acc 0.195 (0.195)	Top-5 acc 0.293 (0.293)	lr 0.00000
Train [1][100/1251]	Time 0.565 (0.936)	Data 0.001 (0.040)	Loss 6.7735 (6.8822)	Top-1 acc 0.488 (0.266)	Top-5 acc 2.051 (1.104)	lr 0.03195
Train [1][200/1251]	Time 0.583 (0.861)	Data 0.001 (0.048)	Loss 6.1227 (6.6834)	Top-1 acc 2.734 (0.909)	Top-5 acc 9.863 (3.249)	lr 0.06390
Train [1][300/1251]	Time 0.572 (0.814)	Data 0.213 (0.068)	Loss 5.7625 (6.4364)	Top-1 acc 4.883 (1.921)	Top-5 acc 15.039 (6.230)	lr 0.09585
Train [1][400/1251]	Time 0.501 (0.792)	Data 0.001 (0.097)	Loss 5.3113 (6.2035)	Top-1 acc 8.691 (3.294)	Top-5 acc 23.145 (9.755)	lr 0.12780
Train [1][500/1251]	Time 0.565 (0.792)	Data 0.001 (0.124)	Loss 5.0047 (5.9965)	Top-1 acc 14.453 (4.865)	Top-5 acc 32.031 (13.346)	lr 0.15974
Train [1][600/1251]	Time 0.628 (0.783)	Data 0.335 (0.172)	Loss 4.8533 (5.8174)	Top-1 acc 15.430 (6.478)	Top-5 acc 36.426 (16.734)	lr 0.19169
Train [1][700/1251]	Time 1.564 (0.781)	Data 0.208 (0.154)	Loss 4.6568 (5.6613)	Top-1 acc 18.750 (8.045)	Top-5 acc 40.918 (19.861)	lr 0.22364
Train [1][800/1251]	Time 0.454 (0.787)	Data 0.155 (0.159)	Loss 4.5161 (5.5250)	Top-1 acc 20.312 (9.533)	Top-5 acc 42.773 (22.635)	lr 0.25559
Train [1][900/1251]	Time 0.418 (0.782)	Data 0.001 (0.161)	Loss 4.4014 (5.4045)	Top-1 acc 22.363 (10.950)	Top-5 acc 46.387 (25.142)	lr 0.28754
Train [1][1000/1251]	Time 1.475 (0.784)	Data 0.001 (0.164)	Loss 4.2412 (5.2978)	Top-1 acc 26.074 (12.269)	Top-5 acc 50.195 (27.380)	lr 0.31949
Train [1][1100/1251]	Time 0.536 (0.785)	Data 0.001 (0.172)	Loss 4.2533 (5.2019)	Top-1 acc 25.684 (13.513)	Top-5 acc 49.902 (29.385)	lr 0.35144
Train [1][1200/1251]	Time 0.550 (0.780)	Data 0.001 (0.163)	Loss 4.1550 (5.1160)	Top-1 acc 27.246 (14.654)	Top-5 acc 51.758 (31.214)	lr 0.38339
Train [1][1251/1251]	Time 1.054 (0.785)	Data 0.001 (0.157)	Loss 4.2605 (5.0760)	Top-1 acc 26.567 (15.195)	Top-5 acc 51.726 (32.068)	lr 0.39968
