Train [1][0/1251]	Time 7.452 (7.452)	Data 0.000 (0.000)	Loss 6.9180 (6.9180)	Top-1 acc 0.195 (0.195)	Top-5 acc 0.879 (0.879)	lr 0.00000
Train [1][100/1251]	Time 0.534 (0.807)	Data 0.003 (0.110)	Loss 6.8781 (6.9081)	Top-1 acc 0.293 (0.116)	Top-5 acc 0.684 (0.625)	lr 0.03195
Train [1][200/1251]	Time 0.516 (0.831)	Data 0.017 (0.119)	Loss 6.6511 (6.8595)	Top-1 acc 0.586 (0.230)	Top-5 acc 3.613 (1.060)	lr 0.06390
Train [1][300/1251]	Time 0.585 (0.812)	Data 0.001 (0.096)	Loss 6.1094 (6.6932)	Top-1 acc 2.344 (0.703)	Top-5 acc 8.594 (2.750)	lr 0.09585
Train [1][400/1251]	Time 1.452 (0.828)	Data 0.001 (0.073)	Loss 5.6035 (6.4785)	Top-1 acc 5.859 (1.623)	Top-5 acc 17.090 (5.450)	lr 0.12780
Train [1][500/1251]	Time 1.932 (0.846)	Data 0.002 (0.091)	Loss 5.1685 (6.2585)	Top-1 acc 9.473 (2.931)	Top-5 acc 26.074 (8.826)	lr 0.15974
Train [1][600/1251]	Time 0.519 (0.834)	Data 0.001 (0.112)	Loss 4.8958 (6.0544)	Top-1 acc 14.648 (4.518)	Top-5 acc 33.887 (12.459)	lr 0.19169
Train [1][700/1251]	Time 0.780 (0.824)	Data 0.283 (0.116)	Loss 4.6417 (5.8687)	Top-1 acc 20.215 (6.234)	Top-5 acc 42.480 (16.042)	lr 0.22364
Train [1][800/1251]	Time 0.558 (0.826)	Data 0.008 (0.104)	Loss 4.4711 (5.7023)	Top-1 acc 20.605 (7.972)	Top-5 acc 43.945 (19.357)	lr 0.25559
Train [1][900/1251]	Time 0.525 (0.829)	Data 0.001 (0.093)	Loss 4.2767 (5.5537)	Top-1 acc 24.609 (9.657)	Top-5 acc 46.680 (22.385)	lr 0.28754
Train [1][1000/1251]	Time 0.563 (0.826)	Data 0.066 (0.091)	Loss 4.1147 (5.4227)	Top-1 acc 26.758 (11.236)	Top-5 acc 52.344 (25.102)	lr 0.31949
Train [1][1100/1251]	Time 0.600 (0.818)	Data 0.002 (0.086)	Loss 4.1444 (5.3046)	Top-1 acc 26.758 (12.728)	Top-5 acc 51.855 (27.560)	lr 0.35144
Train [1][1200/1251]	Time 0.582 (0.803)	Data 0.001 (0.084)	Loss 3.9919 (5.1981)	Top-1 acc 28.613 (14.101)	Top-5 acc 56.152 (29.808)	lr 0.38339
Train [1][1251/1251]	Time 0.921 (0.796)	Data 0.001 (0.081)	Loss 4.0312 (5.1486)	Top-1 acc 31.508 (14.769)	Top-5 acc 54.603 (30.861)	lr 0.39968
==========Valid [1/120]	loss 5.278	top-1 acc 10.330 (10.330)	top-5 acc 24.992	Train top-1 14.769	top-5 30.861
Train [2][0/1251]	Time 0.708 (0.708)	Data 0.001 (0.001)	Loss 4.2659 (4.2659)	Top-1 acc 25.586 (25.586)	Top-5 acc 49.609 (49.609)	lr 0.40000
Train [2][100/1251]	Time 0.512 (0.532)	Data 0.001 (0.001)	Loss 3.9790 (3.9293)	Top-1 acc 31.250 (31.094)	Top-5 acc 56.543 (56.573)	lr 0.40000
Train [2][200/1251]	Time 0.506 (0.531)	Data 0.001 (0.001)	Loss 3.7844 (3.8690)	Top-1 acc 34.766 (32.415)	Top-5 acc 61.035 (57.980)	lr 0.40000
Train [2][300/1251]	Time 0.528 (0.531)	Data 0.001 (0.001)	Loss 3.6716 (3.8235)	Top-1 acc 38.672 (33.392)	Top-5 acc 61.914 (59.011)	lr 0.40000
Train [2][400/1251]	Time 0.516 (0.530)	Data 0.001 (0.001)	Loss 3.6222 (3.7832)	Top-1 acc 37.598 (34.240)	Top-5 acc 64.355 (59.896)	lr 0.39999
Train [2][500/1251]	Time 0.523 (0.530)	Data 0.001 (0.001)	Loss 3.6106 (3.7474)	Top-1 acc 38.965 (35.032)	Top-5 acc 64.258 (60.627)	lr 0.39999
Train [2][600/1251]	Time 0.547 (0.530)	Data 0.001 (0.001)	Loss 3.5837 (3.7152)	Top-1 acc 38.574 (35.706)	Top-5 acc 63.867 (61.311)	lr 0.39998
Train [2][700/1251]	Time 0.544 (0.530)	Data 0.002 (0.001)	Loss 3.5263 (3.6851)	Top-1 acc 40.527 (36.377)	Top-5 acc 65.234 (61.931)	lr 0.39998
Train [2][800/1251]	Time 0.559 (0.530)	Data 0.001 (0.001)	Loss 3.4881 (3.6585)	Top-1 acc 40.039 (36.940)	Top-5 acc 65.430 (62.476)	lr 0.39997
Train [2][900/1251]	Time 0.514 (0.531)	Data 0.001 (0.001)	Loss 3.4933 (3.6314)	Top-1 acc 40.527 (37.508)	Top-5 acc 65.430 (63.041)	lr 0.39996
Train [2][1000/1251]	Time 0.516 (0.531)	Data 0.001 (0.001)	Loss 3.3262 (3.6065)	Top-1 acc 44.141 (38.026)	Top-5 acc 69.336 (63.558)	lr 0.39996
